Year,corn,sorghum,soybeans,wheat
2003,3.7482608695652178,8.76282608695652,11.080163043478262,5.324809782608696
2004,2.8739544732662785,6.808681842244574,7.715272631021705,13.167151932239278
2005,3.11979006656426,8.506994690963557,7.975448028673835,5.49989759344598
2006,4.02780257936508,10.20530753968254,8.153844246031747,7.460391865079366
2007,4.557718282682103,5.574915581283164,11.250988904968644,6.9967438494934875
2008,4.685973060845331,4.826660473757547,11.076428239665582,8.159869948908499
2009,4.165757575757576,3.9213519813519815,10.911351981351983,6.072121212121212
2010,5.272145804676754,5.503850735006804,12.258940852819808,6.452636405318661
2011,6.946487327701201,7.086349488661627,13.27654513116941,7.6872387727879055
2012,7.600914634146342,6.323174744330814,14.877090592334495,8.575130662020905
2013,5.1,5.56,13.09,10.99
2014,4.0900506970849175,4.544819444444444,9.430249260667512,6.181833544571187
2015,3.6670464135021095,3.5296388888888885,8.258227848101265,5.151561181434599
2016,3.1260833333333333,2.5144583333333332,9.125833333333334,3.7377083333333334
2017,3.1751121991024074,3.09906160750714,8.64124847001224,4.73890248878009
2018,4.184906411788132,5.038590203106332,8.81521306252489,5.075706889685384
2019,3.6722330856472434,3.143723113023074,8.13723113023074,4.47411028549081
2020,3.9253477588871717,4.370440892304895,9.291190108191653,4.834659969088099
2021,5.2188560885608855,5.597158671586715,12.243247232472324,6.095830258302583
2022,12.028117526477622,14.241100102494022,12.243247232472324,7.514588315681585
