year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.9088,3105.7486,0.4226,0.4018,0.5982,0.0,67.0,214.0,55.0
2013,18.787,2267.18,0.3929,0.2857,0.7143,77.0,0.0,258.0,1.0
2014,18.8566,1688.7882,0.4375,0.2292,0.7708,28.0,0.0,308.0,0.0
2015,18.9676,1563.6227,0.4077,0.2083,0.7917,55.0,1.0,140.0,140.0
2016,18.7813,2461.9321,0.4256,0.4881,0.5119,19.0,42.0,259.0,16.0
2017,18.7129,2105.9736,0.3988,0.6429,0.3571,129.0,5.0,185.0,17.0
2018,18.5877,2277.178,0.4405,0.5863,0.4137,53.0,0.0,283.0,0.0
2019,18.758,1384.5365,0.4315,0.6458,0.3542,135.0,0.0,190.0,11.0
2020,18.5025,2671.146,0.4018,0.5982,0.4018,148.0,55.0,117.0,16.0
2021,18.2653,2615.5642,0.3929,0.625,0.375,61.0,0.0,275.0,0.0
2022,18.0109,2667.7114,0.4167,0.6429,0.3571,28.0,43.0,264.0,1.0
