year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6576,3864.751,0.4226,0.6726,0.3274,0.0,69.0,228.0,39.0
2013,18.4038,2665.7188,0.3929,0.5893,0.4107,65.0,1.0,267.0,3.0
2014,18.2582,2338.9517,0.4375,0.5744,0.4256,29.0,0.0,307.0,0.0
2015,18.1268,2296.2965,0.4077,0.5565,0.4435,135.0,1.0,151.0,49.0
2016,17.9348,2479.037,0.4256,0.5804,0.4196,113.0,45.0,169.0,9.0
2017,17.9239,1932.1928,0.4077,0.631,0.369,123.0,25.0,175.0,13.0
2018,17.7596,2395.3396,0.4494,0.6815,0.3185,40.0,0.0,296.0,0.0
2019,17.9202,1414.0185,0.4256,0.7202,0.2798,150.0,1.0,178.0,7.0
2020,17.657,2694.1858,0.4107,0.6875,0.3125,172.0,52.0,112.0,0.0
2021,17.4768,2443.4074,0.4405,0.6607,0.3393,69.0,0.0,267.0,0.0
2022,17.2054,2719.1005,0.4107,0.6935,0.3065,34.0,51.0,251.0,0.0
