year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6603,3856.4252,0.4226,0.8065,0.1935,0.0,115.0,194.0,27.0
2013,18.4035,2675.0698,0.3929,0.6935,0.3065,41.0,2.0,280.0,13.0
2014,18.253,2353.8178,0.4375,0.6667,0.3333,26.0,2.0,270.0,38.0
2015,18.0107,2631.0723,0.4077,0.7738,0.2262,139.0,3.0,185.0,9.0
2016,17.7239,2765.5108,0.3988,0.75,0.25,174.0,40.0,111.0,11.0
2017,17.7105,1939.4922,0.4286,0.7679,0.2321,151.0,25.0,157.0,3.0
2018,17.5214,2470.6397,0.4196,0.7679,0.2321,14.0,26.0,294.0,2.0
2019,17.6573,1488.5516,0.4196,0.8452,0.1548,149.0,0.0,186.0,1.0
2020,17.3412,2854.002,0.3839,0.8274,0.1726,174.0,87.0,47.0,28.0
2021,17.0741,2705.8397,0.4077,0.8839,0.1161,80.0,1.0,255.0,0.0
2022,16.7886,2761.899,0.4077,0.9018,0.0982,29.0,106.0,198.0,3.0
