year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.527,4259.2217,0.4226,0.6726,0.3274,0.0,142.0,194.0,0.0
2013,18.2269,2805.9183,0.3929,0.6012,0.3988,164.0,13.0,141.0,18.0
2014,18.0382,2469.1552,0.4375,0.4167,0.5833,52.0,21.0,260.0,3.0
2015,17.7884,2653.6803,0.4018,0.4137,0.5863,117.0,13.0,99.0,107.0
2016,17.3783,3138.1148,0.3899,0.4911,0.5089,85.0,47.0,90.0,114.0
2017,16.9747,3118.4022,0.3899,0.5685,0.4315,122.0,40.0,166.0,8.0
2018,16.757,2556.6402,0.4196,0.5119,0.4881,114.0,26.0,194.0,2.0
2019,16.5969,2382.9374,0.4018,0.5,0.5,29.0,18.0,249.0,40.0
2020,16.336,2687.2212,0.4256,0.6161,0.3839,123.0,33.0,55.0,125.0
2021,16.0603,2732.1456,0.4107,0.5923,0.4077,43.0,14.0,275.0,4.0
2022,15.7514,2832.1449,0.3958,0.5714,0.4286,16.0,21.0,192.0,107.0
