year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6236,3967.3451,0.4226,0.8363,0.1637,0.0,112.0,169.0,55.0
2013,18.3085,2851.2486,0.3929,0.8155,0.1845,41.0,2.0,280.0,13.0
2014,18.0787,2593.2299,0.4375,0.8065,0.1935,31.0,2.0,297.0,6.0
2015,17.8203,2679.6599,0.4077,0.8214,0.1786,169.0,2.0,163.0,2.0
2016,17.5697,2656.2773,0.4137,0.75,0.25,173.0,40.0,88.0,35.0
2017,17.51,2079.5028,0.4048,0.869,0.131,152.0,21.0,162.0,1.0
2018,17.2731,2614.7749,0.4226,0.9018,0.0982,23.0,8.0,305.0,0.0
2019,17.3971,1524.3982,0.4048,0.9286,0.0714,169.0,1.0,166.0,0.0
2020,17.1266,2716.4331,0.4196,0.9256,0.0744,175.0,120.0,18.0,23.0
2021,16.8114,2851.3738,0.3899,0.9702,0.0298,91.0,1.0,243.0,1.0
2022,16.5172,2788.0138,0.4048,0.9702,0.0298,22.0,126.0,186.0,2.0
