year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6524,3880.352,0.4226,0.6726,0.3274,0.0,69.0,228.0,39.0
2013,18.3969,2671.0253,0.3929,0.5893,0.4107,65.0,1.0,267.0,3.0
2014,18.2493,2345.1864,0.4375,0.5744,0.4256,29.0,0.0,307.0,0.0
2015,18.1134,2309.529,0.4077,0.5565,0.4435,59.0,1.0,227.0,49.0
2016,17.8743,2621.6183,0.4256,0.6429,0.3571,135.0,25.0,167.0,9.0
2017,17.8161,2074.8714,0.3869,0.6369,0.3631,147.0,20.0,156.0,13.0
2018,17.6172,2499.9306,0.4226,0.6667,0.3333,40.0,0.0,296.0,0.0
2019,17.7847,1392.9401,0.4315,0.6964,0.3036,152.0,2.0,173.0,9.0
2020,17.515,2714.0909,0.4077,0.6845,0.3155,165.0,49.0,122.0,0.0
2021,17.3616,2362.3321,0.4405,0.6161,0.3839,75.0,0.0,261.0,0.0
2022,17.1105,2657.7837,0.4137,0.6339,0.3661,32.0,49.0,255.0,0.0
