year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.7879,3471.1136,0.4226,0.6726,0.3274,0.0,69.0,267.0,0.0
2013,18.5961,2478.4262,0.3929,0.6726,0.3274,69.0,0.0,267.0,0.0
2014,18.6722,1669.1446,0.4375,0.6667,0.3333,0.0,0.0,336.0,0.0
2015,18.8175,1460.1471,0.4613,0.6667,0.3333,137.0,0.0,175.0,24.0
2016,18.9077,1626.8242,0.4167,0.622,0.378,144.0,38.0,134.0,20.0
2017,19.2542,852.1689,0.5119,0.6905,0.3095,130.0,0.0,206.0,0.0
2018,19.3472,1618.1246,0.4286,0.7232,0.2768,8.0,0.0,328.0,0.0
2019,19.7553,666.029,0.494,0.7411,0.2589,146.0,0.0,190.0,0.0
2020,19.5408,2547.0826,0.4077,0.7054,0.2946,83.0,0.0,253.0,0.0
2021,19.5026,2014.6097,0.4048,0.7054,0.2946,0.0,0.0,336.0,0.0
2022,19.2626,2624.3404,0.4077,0.7054,0.2946,27.0,0.0,309.0,0.0
