year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6675,3834.7188,0.4226,0.6726,0.3274,0.0,69.0,228.0,39.0
2013,18.4174,2654.9152,0.3929,0.5893,0.4107,65.0,1.0,267.0,3.0
2014,18.2761,2325.9482,0.4375,0.5744,0.4256,27.0,0.0,309.0,0.0
2015,18.1504,2278.7129,0.4077,0.5595,0.4405,147.0,0.0,140.0,49.0
2016,17.9474,2512.5499,0.3988,0.5565,0.4435,106.0,56.0,166.0,8.0
2017,17.9302,1950.8673,0.3839,0.619,0.381,118.0,26.0,175.0,17.0
2018,17.751,2440.6897,0.4345,0.6786,0.3214,40.0,0.0,296.0,0.0
2019,17.922,1382.1945,0.4405,0.7173,0.2827,147.0,1.0,184.0,4.0
2020,17.6557,2703.764,0.4048,0.6905,0.3095,168.0,54.0,114.0,0.0
2021,17.4341,2568.624,0.4048,0.6667,0.3333,57.0,0.0,279.0,0.0
2022,17.204,2594.2444,0.4315,0.6726,0.3274,16.0,57.0,263.0,0.0
