year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6498,3888.2829,0.4226,0.6726,0.3274,0.0,69.0,228.0,39.0
2013,18.3935,2673.3325,0.3929,0.5893,0.4107,65.0,1.0,267.0,3.0
2014,18.2447,2348.6334,0.4375,0.5744,0.4256,29.0,0.0,307.0,0.0
2015,18.1068,2315.8478,0.4077,0.5565,0.4435,43.0,1.0,266.0,26.0
2016,17.9086,2497.9384,0.4256,0.5774,0.4226,134.0,25.0,153.0,24.0
2017,17.9321,1828.0638,0.4167,0.5774,0.4226,119.0,32.0,167.0,18.0
2018,17.72,2539.6825,0.3958,0.6429,0.3571,40.0,0.0,296.0,0.0
2019,17.8858,1398.316,0.4494,0.6935,0.3065,145.0,0.0,185.0,6.0
2020,17.6164,2713.0516,0.3958,0.6339,0.3661,166.0,44.0,126.0,0.0
2021,17.4344,2448.8077,0.4196,0.6161,0.3839,61.0,0.0,275.0,0.0
2022,17.1533,2748.5278,0.3958,0.619,0.381,31.0,38.0,267.0,0.0
