year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.5923,4062.0231,0.4226,0.6726,0.3274,0.0,81.0,194.0,61.0
2013,18.3111,2748.5648,0.3929,0.6042,0.3958,39.0,13.0,266.0,18.0
2014,18.1196,2477.6956,0.4375,0.5387,0.4613,16.0,23.0,294.0,3.0
2015,17.8698,2653.7613,0.3839,0.503,0.497,77.0,6.0,206.0,47.0
2016,17.5886,2748.6528,0.4167,0.5119,0.4881,127.0,31.0,151.0,27.0
2017,17.4162,2420.0007,0.3929,0.5208,0.4792,129.0,30.0,149.0,28.0
2018,17.1921,2576.225,0.4107,0.5952,0.4048,35.0,7.0,294.0,0.0
2019,17.1436,2045.5065,0.4196,0.6339,0.3661,5.0,0.0,308.0,23.0
2020,16.8706,2723.8378,0.4167,0.6756,0.3244,163.0,37.0,85.0,51.0
2021,16.6037,2705.3755,0.4018,0.619,0.381,51.0,12.0,269.0,4.0
2022,16.3518,2660.0741,0.4256,0.6101,0.3899,22.0,28.0,278.0,8.0
