year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6576,3864.7512,0.4226,0.6726,0.3274,0.0,69.0,267.0,0.0
2013,18.4074,2654.897,0.3929,0.5833,0.4167,66.0,0.0,270.0,0.0
2014,18.2646,2330.5686,0.4375,0.5685,0.4315,28.0,0.0,308.0,0.0
2015,18.1331,2296.28,0.4077,0.5536,0.4464,7.0,0.0,329.0,0.0
2016,17.9282,2518.2457,0.3988,0.5506,0.4494,11.0,8.0,317.0,0.0
2017,17.9802,1741.8246,0.4405,0.5387,0.4613,3.0,0.0,333.0,0.0
2018,17.8596,2263.5009,0.4315,0.5387,0.4613,2.0,0.0,334.0,0.0
2019,18.1088,1146.3205,0.5,0.5387,0.4613,0.0,0.0,336.0,0.0
2020,17.8967,2539.9978,0.4167,0.5387,0.4613,0.0,37.0,299.0,0.0
2021,17.7067,2472.8424,0.3958,0.5387,0.4613,37.0,0.0,299.0,0.0
2022,17.5038,2512.3486,0.4345,0.5238,0.4762,5.0,34.0,297.0,0.0
