year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.5297,3864.7512,0.4226,0.6726,0.3274,0.0,69.0,228.0,39.0
2013,18.1876,2665.9208,0.3929,0.5893,0.4107,65.0,1.0,267.0,3.0
2014,17.9647,2338.7342,0.4375,0.5744,0.4256,29.0,0.0,307.0,0.0
2015,17.7573,2295.8852,0.4077,0.5565,0.4435,136.0,1.0,150.0,49.0
2016,17.4779,2494.064,0.4256,0.5863,0.4137,115.0,43.0,169.0,9.0
2017,17.3785,1999.3454,0.4137,0.6518,0.3482,129.0,20.0,179.0,8.0
2018,17.1168,2445.1605,0.4345,0.6607,0.3393,42.0,0.0,294.0,0.0
2019,17.2292,1417.627,0.4226,0.7113,0.2887,151.0,0.0,176.0,9.0
2020,16.8772,2693.4358,0.4137,0.6964,0.3036,165.0,52.0,119.0,0.0
2021,16.5792,2544.9111,0.4256,0.6726,0.3274,60.0,0.0,276.0,0.0
2022,16.2208,2710.7976,0.4107,0.6786,0.3214,28.0,49.0,259.0,0.0
