year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.018,3864.7512,0.4226,0.6726,0.3274,0.0,69.0,228.0,39.0
2013,17.3228,2666.1765,0.3929,0.5893,0.4107,65.0,1.0,267.0,3.0
2014,16.7902,2338.7286,0.4375,0.5744,0.4256,29.0,0.0,307.0,0.0
2015,16.2793,2295.121,0.4077,0.5565,0.4435,141.0,1.0,145.0,49.0
2016,15.6982,2436.5616,0.4256,0.5685,0.4315,109.0,50.0,168.0,9.0
2017,15.3349,1997.7277,0.4018,0.6458,0.3542,124.0,19.0,179.0,14.0
2018,14.7236,2497.3427,0.4345,0.6935,0.3065,31.0,0.0,305.0,0.0
2019,14.6435,1427.399,0.4196,0.7083,0.2917,156.0,2.0,171.0,7.0
2020,13.9399,2683.0232,0.4107,0.6845,0.3155,169.0,54.0,113.0,0.0
2021,13.2644,2626.7289,0.3958,0.6577,0.3423,66.0,0.0,270.0,0.0
2022,12.561,2682.6032,0.4167,0.6786,0.3214,25.0,51.0,260.0,0.0
