year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.7855,3864.7512,0.4226,0.6726,0.3274,0.0,69.0,228.0,39.0
2013,18.62,2665.6683,0.3929,0.5893,0.4107,65.0,1.0,267.0,3.0
2014,18.5519,2338.8385,0.4375,0.5744,0.4256,29.0,0.0,307.0,0.0
2015,18.4963,2296.6203,0.4077,0.5565,0.4435,135.0,1.0,151.0,49.0
2016,18.3863,2479.2352,0.4256,0.5804,0.4196,113.0,45.0,169.0,9.0
2017,18.4393,1932.5029,0.4077,0.631,0.369,123.0,25.0,175.0,13.0
2018,18.3542,2395.6076,0.4494,0.6815,0.3185,40.0,0.0,296.0,0.0
2019,18.5614,1414.6683,0.4256,0.7202,0.2798,150.0,1.0,178.0,7.0
2020,18.3874,2694.0267,0.4107,0.6875,0.3125,172.0,52.0,112.0,0.0
2021,18.2881,2443.5223,0.4405,0.6607,0.3393,69.0,0.0,267.0,0.0
2022,18.1067,2718.8783,0.4107,0.6935,0.3065,34.0,51.0,251.0,0.0
