year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6576,3864.7512,0.4226,0.6726,0.3274,0.0,69.0,194.0,73.0
2013,18.396,2689.4932,0.3929,0.6042,0.3958,52.0,12.0,260.0,12.0
2014,18.24,2370.2766,0.4375,0.6042,0.3958,171.0,1.0,127.0,37.0
2015,18.0629,2434.1454,0.381,0.5833,0.4167,113.0,41.0,173.0,9.0
2016,17.7739,2772.0826,0.381,0.619,0.381,125.0,46.0,153.0,12.0
2017,17.7326,2024.0808,0.4137,0.6815,0.3185,150.0,18.0,161.0,7.0
2018,17.5194,2543.0129,0.4226,0.7024,0.2976,169.0,12.0,150.0,5.0
2019,17.6914,1379.5434,0.4583,0.7173,0.2827,160.0,1.0,173.0,2.0
2020,17.4308,2686.3667,0.4077,0.6905,0.3095,168.0,74.0,87.0,7.0
2021,17.2035,2585.7826,0.4167,0.6905,0.3095,49.0,0.0,287.0,0.0
2022,16.9338,2713.9794,0.4137,0.7232,0.2768,31.0,58.0,247.0,0.0
