year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.8208,3371.539,0.4226,0.6726,0.3274,0.0,69.0,267.0,0.0
2013,18.6897,2295.1724,0.3929,0.6726,0.3274,69.0,0.0,267.0,0.0
2014,18.8378,1451.9053,0.4375,0.6667,0.3333,0.0,0.0,336.0,0.0
2015,19.054,1245.9285,0.4851,0.6667,0.3333,137.0,0.0,183.0,16.0
2016,19.2354,1350.9316,0.4256,0.5982,0.4018,143.0,36.0,131.0,26.0
2017,19.6417,671.6611,0.506,0.7024,0.2976,118.0,0.0,218.0,0.0
2018,19.8054,1404.4567,0.4524,0.7173,0.2827,15.0,0.0,321.0,0.0
2019,20.1948,722.7069,0.4524,0.756,0.244,152.0,0.0,184.0,0.0
2020,19.9901,2517.4917,0.4077,0.7024,0.2976,89.0,0.0,247.0,0.0
2021,20.0474,1725.9686,0.4167,0.7024,0.2976,0.0,0.0,336.0,0.0
2022,19.8642,2452.6675,0.4435,0.7024,0.2976,16.0,0.0,320.0,0.0
