year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6576,3864.7512,0.4226,0.6726,0.3274,0.0,69.0,157.0,110.0
2013,18.3425,2851.1068,0.3929,0.6994,0.3006,165.0,13.0,140.0,18.0
2014,18.1756,2403.3028,0.4375,0.6101,0.3899,177.0,27.0,125.0,7.0
2015,18.0299,2339.1254,0.4315,0.6042,0.3958,133.0,32.0,165.0,6.0
2016,17.7456,2758.0003,0.3899,0.6429,0.3571,143.0,48.0,77.0,68.0
2017,17.714,1994.8057,0.4286,0.8631,0.1369,154.0,22.0,160.0,0.0
2018,17.5026,2537.6362,0.4196,0.878,0.122,238.0,20.0,78.0,0.0
2019,17.668,1399.2379,0.4345,0.8869,0.1131,172.0,8.0,156.0,0.0
2020,17.3783,2774.3898,0.4018,0.9018,0.0982,179.0,121.0,13.0,23.0
2021,17.1009,2737.1795,0.4077,0.9524,0.0476,187.0,6.0,142.0,1.0
2022,16.808,2784.1135,0.4048,0.9613,0.0387,25.0,126.0,185.0,0.0
