year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6576,3864.7512,0.4226,0.6726,0.3274,0.0,69.0,267.0,0.0
2013,18.4074,2654.897,0.3929,0.5833,0.4167,143.0,0.0,193.0,0.0
2014,18.2535,2364.2171,0.4375,0.6667,0.3333,11.0,0.0,325.0,0.0
2015,18.0793,2425.2141,0.4077,0.6577,0.3423,6.0,0.0,330.0,0.0
2016,17.8863,2482.1928,0.4286,0.6637,0.3363,27.0,5.0,304.0,0.0
2017,17.9109,1824.8892,0.4226,0.6518,0.3482,10.0,0.0,326.0,0.0
2018,17.7877,2271.2197,0.4405,0.6518,0.3482,0.0,0.0,336.0,0.0
2019,18.0247,1182.959,0.4881,0.6518,0.3482,11.0,0.0,325.0,0.0
2020,17.7809,2635.846,0.4018,0.6399,0.3601,4.0,59.0,273.0,0.0
2021,17.5856,2489.0877,0.4048,0.6429,0.3571,60.0,0.0,276.0,0.0
2022,17.3257,2684.1993,0.4018,0.6369,0.3631,17.0,55.0,264.0,0.0
