year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.2738,3864.7512,0.4226,0.6726,0.3274,0.0,69.0,228.0,39.0
2013,17.7552,2666.2038,0.3929,0.5893,0.4107,65.0,1.0,267.0,3.0
2014,17.3774,2338.7543,0.4375,0.5744,0.4256,29.0,0.0,307.0,0.0
2015,17.0182,2295.5256,0.4077,0.5565,0.4435,140.0,1.0,146.0,49.0
2016,16.5942,2446.3497,0.4256,0.5685,0.4315,109.0,49.0,169.0,9.0
2017,16.396,1921.4314,0.4018,0.619,0.381,116.0,27.0,178.0,15.0
2018,15.9935,2396.1241,0.4494,0.6786,0.3214,33.0,0.0,303.0,0.0
2019,16.0242,1389.6198,0.4375,0.7054,0.2946,149.0,0.0,179.0,8.0
2020,15.5239,2623.4179,0.4226,0.6756,0.3244,165.0,55.0,116.0,0.0
2021,15.0905,2468.1468,0.4286,0.6458,0.3542,67.0,0.0,269.0,0.0
2022,14.606,2586.6025,0.4315,0.6518,0.3482,25.0,55.0,256.0,0.0
