year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6576,3864.7512,0.4226,0.6726,0.3274,0.0,69.0,209.0,58.0
2013,18.3991,2679.8818,0.3929,0.5982,0.4018,62.0,7.0,257.0,10.0
2014,18.2455,2363.433,0.4375,0.5833,0.4167,29.0,0.0,307.0,0.0
2015,18.0778,2405.4713,0.3839,0.5655,0.4345,150.0,0.0,136.0,50.0
2016,17.849,2590.4134,0.3988,0.5774,0.4226,115.0,52.0,159.0,10.0
2017,17.8074,2024.9003,0.3839,0.6369,0.3631,129.0,24.0,169.0,14.0
2018,17.6288,2438.6191,0.4286,0.6726,0.3274,49.0,0.0,287.0,0.0
2019,17.7853,1426.2777,0.4167,0.7083,0.2917,154.0,2.0,172.0,8.0
2020,17.5232,2690.8006,0.4137,0.6994,0.3006,170.0,64.0,96.0,6.0
2021,17.2645,2680.7295,0.4018,0.6905,0.3095,54.0,0.0,282.0,0.0
2022,16.9658,2801.68,0.3958,0.7232,0.2768,26.0,52.0,258.0,0.0
