year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.7554,3569.3045,0.4226,0.6726,0.3274,0.0,69.0,267.0,0.0
2013,18.5408,2547.3269,0.3929,0.6726,0.3274,75.0,0.0,261.0,0.0
2014,18.5477,1878.2684,0.4375,0.6607,0.3393,0.0,0.0,336.0,0.0
2015,18.6143,1697.8655,0.4137,0.6607,0.3393,141.0,0.0,157.0,38.0
2016,18.5657,2046.058,0.4107,0.6756,0.3244,142.0,33.0,155.0,6.0
2017,18.8245,1117.148,0.494,0.7083,0.2917,142.0,4.0,190.0,0.0
2018,18.8763,1742.4416,0.4315,0.6905,0.3095,27.0,0.0,309.0,0.0
2019,19.3922,340.6886,0.4673,0.7411,0.2589,141.0,0.0,191.0,4.0
2020,19.1752,2554.5399,0.4226,0.7292,0.2708,84.0,0.0,252.0,0.0
2021,19.0843,2173.8689,0.4256,0.7113,0.2887,10.0,0.0,326.0,0.0
2022,18.8893,2488.2694,0.4464,0.7113,0.2887,40.0,9.0,287.0,0.0
