year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.8327,3335.7704,0.4226,0.5387,0.4613,0.0,86.0,197.0,53.0
2013,18.6649,2406.0434,0.3929,0.4137,0.5863,81.0,1.0,251.0,3.0
2014,18.6477,1950.8935,0.4375,0.375,0.625,23.0,5.0,253.0,55.0
2015,18.5139,2303.4111,0.3988,0.5387,0.4613,87.0,3.0,193.0,53.0
2016,18.2666,2646.3593,0.4107,0.6042,0.3958,122.0,38.0,164.0,12.0
2017,18.2575,1926.4006,0.4345,0.6577,0.3423,137.0,19.0,172.0,8.0
2018,18.0716,2460.7958,0.4137,0.6637,0.3363,16.0,25.0,288.0,7.0
2019,18.2226,1442.7853,0.4315,0.747,0.253,148.0,1.0,185.0,2.0
2020,17.9884,2606.7802,0.4315,0.7202,0.2798,160.0,76.0,93.0,7.0
2021,17.7507,2617.1064,0.4167,0.7173,0.2827,73.0,0.0,263.0,0.0
2022,17.4498,2808.3007,0.3958,0.7351,0.2649,34.0,53.0,249.0,0.0
