year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6551,3872.2488,0.4226,0.6726,0.3274,0.0,69.0,228.0,39.0
2013,18.4006,2668.0857,0.3929,0.5893,0.4107,65.0,1.0,267.0,3.0
2014,18.2541,2341.7524,0.4375,0.5744,0.4256,29.0,0.0,307.0,0.0
2015,18.1205,2302.6829,0.4077,0.5565,0.4435,115.0,1.0,171.0,49.0
2016,17.9256,2487.9043,0.4256,0.5893,0.4107,115.0,43.0,169.0,9.0
2017,17.9223,1908.9656,0.4018,0.6042,0.3958,113.0,33.0,178.0,12.0
2018,17.7426,2442.1179,0.4226,0.6607,0.3393,38.0,0.0,298.0,0.0
2019,17.9102,1392.5403,0.4405,0.7083,0.2917,146.0,0.0,183.0,7.0
2020,17.641,2712.4255,0.4077,0.6845,0.3155,167.0,49.0,120.0,0.0
2021,17.4071,2605.8996,0.3988,0.6518,0.3482,70.0,0.0,266.0,0.0
2022,17.199,2527.7117,0.4464,0.6339,0.3661,22.0,51.0,263.0,0.0
