year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6236,3967.3451,0.4226,0.8363,0.1637,0.0,112.0,194.0,30.0
2013,18.3454,2739.6316,0.3929,0.75,0.25,41.0,2.0,280.0,13.0
2014,18.1649,2444.4558,0.4375,0.7411,0.2589,29.0,2.0,279.0,26.0
2015,17.9034,2689.2654,0.4077,0.8244,0.1756,150.0,0.0,182.0,4.0
2016,17.5779,2882.3646,0.3958,0.8065,0.1935,189.0,21.0,102.0,24.0
2017,17.5361,2025.2652,0.4196,0.8363,0.1637,168.0,21.0,146.0,1.0
2018,17.3214,2547.8165,0.4315,0.8661,0.1339,20.0,10.0,305.0,1.0
2019,17.4435,1530.3285,0.3988,0.9018,0.0982,166.0,2.0,167.0,1.0
2020,17.1319,2840.2609,0.3899,0.8869,0.1131,177.0,106.0,23.0,30.0
2021,16.8626,2712.723,0.4137,0.9554,0.0446,79.0,5.0,251.0,1.0
2022,16.5537,2832.3437,0.3958,0.9732,0.0268,28.0,123.0,183.0,2.0
