year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.683,3788.0231,0.4226,0.7411,0.2589,0.0,101.0,194.0,41.0
2013,18.4366,2643.4677,0.3929,0.628,0.372,57.0,2.0,270.0,7.0
2014,18.3162,2262.7713,0.4375,0.5952,0.4048,30.0,4.0,254.0,48.0
2015,18.0595,2674.7024,0.3899,0.7232,0.2768,126.0,6.0,193.0,11.0
2016,17.8318,2586.986,0.4345,0.6994,0.3006,170.0,29.0,120.0,17.0
2017,17.7986,1999.3554,0.4018,0.7202,0.2798,139.0,23.0,164.0,10.0
2018,17.6331,2399.2695,0.4345,0.747,0.253,23.0,21.0,285.0,7.0
2019,17.759,1518.5714,0.4048,0.8185,0.1815,149.0,2.0,185.0,0.0
2020,17.4877,2718.6979,0.4107,0.8006,0.1994,170.0,89.0,69.0,8.0
2021,17.2186,2712.2963,0.4077,0.8095,0.1905,77.0,0.0,259.0,0.0
2022,16.9282,2776.4226,0.4018,0.8006,0.1994,23.0,78.0,234.0,1.0
