year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.625,3963.3068,0.4226,0.6726,0.3274,0.0,69.0,194.0,73.0
2013,18.3537,2718.6963,0.3929,0.6042,0.3958,58.0,13.0,247.0,18.0
2014,18.1799,2424.0929,0.4375,0.5923,0.4077,39.0,0.0,297.0,0.0
2015,17.9568,2573.1128,0.3839,0.5804,0.4196,55.0,2.0,232.0,47.0
2016,17.6442,2843.6461,0.4048,0.6518,0.3482,141.0,27.0,164.0,4.0
2017,17.5305,2242.4134,0.4137,0.631,0.369,161.0,23.0,140.0,12.0
2018,17.3636,2403.2836,0.4375,0.631,0.369,51.0,0.0,285.0,0.0
2019,17.4383,1673.4584,0.4196,0.6518,0.3482,141.0,0.0,172.0,23.0
2020,17.1471,2779.0114,0.3929,0.6667,0.3333,156.0,43.0,137.0,0.0
2021,16.9019,2639.8945,0.3958,0.628,0.372,72.0,2.0,262.0,0.0
2022,16.6344,2707.1673,0.4107,0.6399,0.3601,25.0,33.0,268.0,10.0
