year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.5456,4202.9935,0.4167,0.6726,0.3274,0.0,140.0,196.0,0.0
2013,18.2749,2716.8896,0.4048,0.5655,0.4345,18.0,9.0,291.0,18.0
2014,18.036,2620.8671,0.4137,0.503,0.497,15.0,15.0,305.0,1.0
2015,17.8063,2593.125,0.4137,0.4792,0.5208,130.0,11.0,148.0,47.0
2016,17.4786,2889.267,0.3958,0.4405,0.5595,97.0,55.0,125.0,59.0
2017,17.2113,2706.504,0.4018,0.619,0.381,111.0,29.0,176.0,20.0
2018,16.9734,2617.8311,0.4167,0.6667,0.3333,28.0,19.0,263.0,26.0
2019,16.7725,2506.0589,0.3958,0.6994,0.3006,33.0,0.0,276.0,27.0
2020,16.5425,2594.0881,0.4464,0.7351,0.2649,157.0,66.0,27.0,86.0
2021,16.2477,2789.5125,0.3929,0.6935,0.3065,56.0,14.0,231.0,35.0
2022,15.9578,2775.0,0.4048,0.5863,0.4137,31.0,21.0,233.0,51.0
