year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.257,3903.8479,0.4167,0.6726,0.3274,0.0,72.0,227.0,37.0
2013,17.7639,2606.8221,0.4048,0.5595,0.4405,63.0,1.0,270.0,2.0
2014,17.3505,2421.6342,0.4137,0.5357,0.4643,20.0,0.0,316.0,0.0
2015,16.9995,2276.5361,0.4137,0.5268,0.4732,124.0,0.0,159.0,53.0
2016,16.5912,2409.6603,0.4256,0.5149,0.4851,97.0,56.0,176.0,7.0
2017,16.388,1933.036,0.4077,0.5714,0.4286,107.0,29.0,186.0,14.0
2018,15.9353,2512.9873,0.4018,0.622,0.378,34.0,0.0,302.0,0.0
2019,15.9628,1396.8948,0.4643,0.6548,0.3452,150.0,0.0,183.0,3.0
2020,15.4843,2572.7379,0.4226,0.5952,0.4048,164.0,44.0,128.0,0.0
2021,15.0232,2532.4408,0.4018,0.5774,0.4226,51.0,0.0,285.0,0.0
2022,14.5328,2600.6122,0.4226,0.5804,0.4196,22.0,40.0,274.0,0.0
