year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6446,3903.8479,0.4167,0.6726,0.3274,0.0,72.0,253.0,11.0
2013,18.4121,2601.5209,0.4048,0.5565,0.4435,63.0,0.0,273.0,0.0
2014,18.242,2413.0601,0.4137,0.5298,0.4702,24.0,0.0,312.0,0.0
2015,18.117,2276.8926,0.4137,0.5179,0.4821,9.0,0.0,327.0,0.0
2016,17.9527,2395.2593,0.4256,0.5179,0.4821,39.0,4.0,293.0,0.0
2017,18.0157,1708.7447,0.4196,0.4792,0.5208,12.0,0.0,324.0,0.0
2018,17.9018,2243.3803,0.4107,0.4911,0.5089,7.0,0.0,329.0,0.0
2019,18.1716,1083.9268,0.5506,0.4911,0.5089,0.0,0.0,336.0,0.0
2020,17.96,2538.4498,0.4137,0.4911,0.5089,0.0,28.0,308.0,0.0
2021,17.8375,2269.0159,0.4286,0.4851,0.5149,34.0,0.0,302.0,0.0
2022,17.6092,2588.9954,0.4107,0.4732,0.5268,12.0,26.0,298.0,0.0
