year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6776,3804.309,0.4167,0.6726,0.3274,0.0,72.0,264.0,0.0
2013,18.4574,2564.2583,0.4048,0.5982,0.4018,68.0,0.0,268.0,0.0
2014,18.304,2362.4705,0.4137,0.5744,0.4256,16.0,0.0,320.0,0.0
2015,18.2377,2099.4294,0.4137,0.5685,0.4315,143.0,1.0,141.0,51.0
2016,18.0419,2490.617,0.3869,0.5804,0.4196,112.0,51.0,164.0,9.0
2017,18.136,1615.0617,0.4315,0.6488,0.3512,111.0,20.0,190.0,15.0
2018,17.9524,2453.5854,0.4077,0.6994,0.3006,29.0,0.0,307.0,0.0
2019,18.2158,1103.4293,0.4524,0.7262,0.2738,157.0,0.0,179.0,0.0
2020,18.0023,2543.9364,0.4226,0.6577,0.3423,163.0,65.0,108.0,0.0
2021,17.8682,2304.4504,0.4375,0.6131,0.3869,73.0,0.0,263.0,0.0
2022,17.6352,2602.8535,0.4137,0.631,0.369,29.0,50.0,255.0,2.0
