year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.1278,3903.8479,0.4167,0.6726,0.3274,0.0,72.0,227.0,37.0
2013,17.5483,2606.8964,0.4048,0.5595,0.4405,63.0,1.0,270.0,2.0
2014,17.0547,2421.6566,0.4137,0.5357,0.4643,20.0,0.0,316.0,0.0
2015,16.6286,2276.1012,0.4137,0.5268,0.4732,124.0,0.0,159.0,53.0
2016,16.1407,2409.3834,0.4256,0.5149,0.4851,97.0,56.0,176.0,7.0
2017,15.8737,1932.586,0.4077,0.5714,0.4286,107.0,29.0,186.0,14.0
2018,15.338,2512.617,0.4018,0.622,0.378,34.0,0.0,302.0,0.0
2019,15.3196,1396.2305,0.4643,0.6548,0.3452,150.0,0.0,183.0,3.0
2020,14.7558,2573.1614,0.4226,0.5952,0.4048,164.0,44.0,128.0,0.0
2021,14.211,2532.1796,0.4018,0.5774,0.4226,51.0,0.0,285.0,0.0
2022,13.6345,2600.3989,0.4226,0.5804,0.4196,22.0,40.0,274.0,0.0
