year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,19.2907,3903.8479,0.4167,0.6726,0.3274,0.0,72.0,227.0,37.0
2013,19.488,2606.2042,0.4048,0.5595,0.4405,63.0,1.0,270.0,2.0
2014,19.7158,2421.851,0.4137,0.5357,0.4643,20.0,0.0,316.0,0.0
2015,19.9674,2277.8267,0.4137,0.5268,0.4732,124.0,0.0,159.0,53.0
2016,20.1968,2411.9212,0.4256,0.5149,0.4851,97.0,56.0,176.0,7.0
2017,20.5049,1936.5879,0.4077,0.5714,0.4286,107.0,29.0,186.0,14.0
2018,20.7174,2514.1928,0.4018,0.622,0.378,34.0,0.0,302.0,0.0
2019,21.1142,1400.675,0.4613,0.6548,0.3452,150.0,0.0,182.0,4.0
2020,21.3162,2577.9044,0.4226,0.5982,0.4018,164.0,44.0,128.0,0.0
2021,21.5245,2539.4673,0.4018,0.5804,0.4196,51.0,0.0,285.0,0.0
2022,21.7219,2605.3103,0.4226,0.5833,0.4167,22.0,40.0,274.0,0.0
