year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.7207,3674.0385,0.4167,0.6042,0.3958,0.0,76.0,223.0,37.0
2013,18.5318,2469.8807,0.4048,0.4851,0.5149,65.0,1.0,263.0,7.0
2014,18.4406,2174.5614,0.4137,0.4554,0.5446,23.0,0.0,313.0,0.0
2015,18.3666,2122.8225,0.3899,0.4345,0.5655,101.0,0.0,149.0,86.0
2016,18.1759,2475.0432,0.4137,0.5327,0.4673,72.0,54.0,199.0,11.0
2017,18.1046,2114.5808,0.4107,0.6696,0.3304,126.0,10.0,190.0,10.0
2018,17.9038,2505.5891,0.4137,0.6488,0.3512,36.0,0.0,300.0,0.0
2019,18.0424,1480.369,0.4286,0.6905,0.3095,157.0,1.0,175.0,3.0
2020,17.7769,2701.3857,0.3988,0.625,0.375,175.0,41.0,120.0,0.0
2021,17.6412,2309.0135,0.4315,0.5595,0.4405,71.0,0.0,265.0,0.0
2022,17.3912,2654.5067,0.4137,0.5923,0.4077,32.0,36.0,264.0,4.0
