year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6446,3903.8479,0.4167,0.6726,0.3274,0.0,72.0,196.0,68.0
2013,18.4074,2615.8577,0.4048,0.5655,0.4345,160.0,9.0,151.0,16.0
2014,18.3806,1980.0111,0.4137,0.3542,0.6458,97.0,66.0,130.0,43.0
2015,18.2568,2273.177,0.4077,0.5149,0.4851,61.0,49.0,212.0,14.0
2016,17.9202,2915.8632,0.378,0.6339,0.3661,127.0,38.0,138.0,33.0
2017,17.8454,2125.3122,0.4048,0.7381,0.2619,156.0,22.0,158.0,0.0
2018,17.5878,2677.326,0.3929,0.747,0.253,177.0,14.0,139.0,6.0
2019,17.7383,1444.3868,0.4435,0.7857,0.2143,182.0,3.0,150.0,1.0
2020,17.4566,2750.1924,0.4077,0.7738,0.2262,185.0,80.0,33.0,38.0
2021,17.1994,2676.1465,0.4137,0.8601,0.1399,36.0,9.0,288.0,3.0
2022,16.9255,2726.478,0.4167,0.878,0.122,24.0,102.0,209.0,1.0
