year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6446,3903.8479,0.4167,0.6726,0.3274,154.0,75.0,0.0,107.0
2013,18.4231,2568.4563,0.4048,0.5327,0.4673,99.0,55.0,164.0,18.0
2014,18.2449,2437.4658,0.4256,0.5744,0.4256,126.0,33.0,166.0,11.0
2015,18.0599,2458.1088,0.4077,0.5893,0.4107,124.0,42.0,69.0,101.0
2016,17.7607,2802.8438,0.4018,0.8125,0.1875,6.0,182.0,30.0,118.0
2017,17.6164,2335.0751,0.3929,0.9851,0.0149,16.0,166.0,114.0,40.0
2018,17.3576,2680.8895,0.4256,1.0,0.0,329.0,0.0,7.0,0.0
2019,17.4735,1549.0394,0.4137,1.0,0.0,200.0,0.0,136.0,0.0
2020,17.1448,2892.0685,0.3839,1.0,0.0,30.0,306.0,0.0,0.0
2021,16.8716,2724.4516,0.4196,1.0,0.0,208.0,1.0,114.0,13.0
2022,16.5796,2781.3199,0.4077,0.9643,0.0357,2.0,125.0,209.0,0.0
