year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.5154,3903.8479,0.4167,0.6726,0.3274,0.0,72.0,227.0,37.0
2013,18.1949,2606.6744,0.4048,0.5595,0.4405,63.0,1.0,270.0,2.0
2014,17.9418,2421.5794,0.4137,0.5357,0.4643,20.0,0.0,316.0,0.0
2015,17.7415,2276.6451,0.4137,0.5268,0.4732,124.0,0.0,159.0,53.0
2016,17.4925,2410.327,0.4256,0.5149,0.4851,97.0,56.0,176.0,7.0
2017,17.417,1933.8491,0.4077,0.5714,0.4286,107.0,29.0,186.0,14.0
2018,17.1305,2513.3095,0.4018,0.622,0.378,34.0,0.0,302.0,0.0
2019,17.2502,1397.7312,0.4643,0.6548,0.3452,150.0,0.0,183.0,3.0
2020,16.942,2572.8013,0.4226,0.5952,0.4048,164.0,44.0,128.0,0.0
2021,16.6484,2532.9308,0.4018,0.5774,0.4226,51.0,0.0,285.0,0.0
2022,16.33,2601.0522,0.4226,0.5804,0.4196,22.0,40.0,274.0,0.0
