year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6446,3903.8479,0.4167,0.6726,0.3274,0.0,72.0,240.0,24.0
2013,18.4105,2606.5388,0.4048,0.5595,0.4405,64.0,0.0,271.0,1.0
2014,18.2319,2438.6684,0.4137,0.5387,0.4613,28.0,0.0,308.0,0.0
2015,18.0984,2302.4432,0.4137,0.5298,0.4702,16.0,0.0,320.0,0.0
2016,17.9191,2440.665,0.4137,0.5149,0.4851,146.0,9.0,130.0,51.0
2017,17.9468,1815.547,0.4048,0.5298,0.4702,140.0,0.0,196.0,0.0
2018,17.7867,2382.5499,0.4018,0.5417,0.4583,29.0,0.0,307.0,0.0
2019,18.001,1251.7832,0.4851,0.6042,0.3958,0.0,0.0,327.0,9.0
2020,17.7584,2632.0761,0.4226,0.631,0.369,33.0,40.0,263.0,0.0
2021,17.5564,2509.3444,0.4226,0.6131,0.3869,42.0,0.0,294.0,0.0
2022,17.2988,2677.4726,0.4107,0.6101,0.3899,18.0,38.0,280.0,0.0
