year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6587,3861.2547,0.4167,0.7411,0.2589,0.0,100.0,209.0,27.0
2013,18.4314,2585.9099,0.4048,0.6012,0.3988,73.0,0.0,254.0,9.0
2014,18.2832,2346.9533,0.4137,0.5833,0.4167,22.0,0.0,314.0,0.0
2015,18.1776,2217.9208,0.4137,0.5744,0.4256,123.0,0.0,152.0,61.0
2016,17.9201,2677.2212,0.4048,0.625,0.375,107.0,38.0,187.0,4.0
2017,17.8851,2004.6479,0.4048,0.6726,0.3274,141.0,19.0,159.0,17.0
2018,17.6836,2508.1236,0.4196,0.7113,0.2887,39.0,0.0,297.0,0.0
2019,17.8289,1459.9282,0.4375,0.753,0.247,156.0,0.0,177.0,3.0
2020,17.604,2578.4932,0.4375,0.7202,0.2798,171.0,70.0,95.0,0.0
2021,17.3883,2550.824,0.4137,0.6786,0.3214,67.0,0.0,269.0,0.0
2022,17.1589,2592.2367,0.4345,0.6845,0.3155,20.0,61.0,253.0,2.0
