year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.7435,3605.3013,0.4167,0.6726,0.3274,0.0,72.0,264.0,0.0
2013,18.5474,2491.403,0.4048,0.6726,0.3274,76.0,0.0,260.0,0.0
2014,18.5138,2000.7,0.4137,0.6637,0.3363,0.0,0.0,336.0,0.0
2015,18.581,1696.087,0.4286,0.6637,0.3363,140.0,0.0,158.0,38.0
2016,18.5355,2036.5379,0.4048,0.6577,0.3423,134.0,38.0,153.0,11.0
2017,18.7892,1132.4559,0.5149,0.6994,0.3006,135.0,0.0,201.0,0.0
2018,18.8188,1809.8702,0.4048,0.6696,0.3304,23.0,0.0,313.0,0.0
2019,19.2213,683.0085,0.506,0.7113,0.2887,141.0,0.0,195.0,0.0
2020,19.0082,2543.0013,0.4018,0.6637,0.3363,82.0,0.0,254.0,0.0
2021,18.935,2120.1281,0.4077,0.6458,0.3542,22.0,0.0,314.0,0.0
2022,18.7388,2491.8537,0.4226,0.6429,0.3571,42.0,7.0,287.0,0.0
