year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6498,3888.2048,0.4167,0.6726,0.3274,0.0,72.0,227.0,37.0
2013,18.4175,2600.8387,0.4048,0.5595,0.4405,63.0,1.0,270.0,2.0
2014,18.247,2414.3673,0.4137,0.5357,0.4643,20.0,0.0,316.0,0.0
2015,18.1261,2264.2434,0.4137,0.5268,0.4732,150.0,0.0,133.0,53.0
2016,17.9667,2380.683,0.4256,0.5089,0.4911,97.0,57.0,174.0,8.0
2017,17.9645,1905.9312,0.4167,0.5744,0.4256,107.0,27.0,189.0,13.0
2018,17.762,2510.8041,0.4137,0.6101,0.3899,38.0,0.0,298.0,0.0
2019,17.9422,1354.6661,0.4613,0.6548,0.3452,151.0,0.0,177.0,8.0
2020,17.716,2582.5013,0.4226,0.6012,0.3988,161.0,42.0,133.0,0.0
2021,17.5159,2503.4262,0.4018,0.5863,0.4137,57.0,0.0,279.0,0.0
2022,17.2919,2575.9565,0.4345,0.6012,0.3988,24.0,40.0,272.0,0.0
