year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.7801,3494.7137,0.4167,0.5387,0.4613,0.0,75.0,220.0,41.0
2013,18.6199,2383.0504,0.4048,0.4077,0.5923,68.0,1.0,263.0,4.0
2014,18.5733,2039.9018,0.4137,0.375,0.625,19.0,0.0,317.0,0.0
2015,18.5978,1824.8808,0.4167,0.3601,0.6399,81.0,0.0,149.0,106.0
2016,18.3384,2682.7795,0.3839,0.5536,0.4464,56.0,46.0,212.0,22.0
2017,18.2756,2088.9707,0.4226,0.6667,0.3333,138.0,12.0,180.0,6.0
2018,18.0766,2500.3309,0.4167,0.6488,0.3512,38.0,0.0,298.0,0.0
2019,18.2696,1315.8508,0.4881,0.6607,0.3393,149.0,0.0,182.0,5.0
2020,18.0857,2454.877,0.4405,0.5804,0.4196,152.0,54.0,130.0,0.0
2021,17.9235,2389.1143,0.4018,0.5387,0.4613,76.0,0.0,260.0,0.0
2022,17.7084,2548.8468,0.4345,0.5923,0.4077,39.0,46.0,249.0,2.0
