year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.8251,3358.5354,0.4167,0.4702,0.5298,0.0,68.0,225.0,43.0
2013,18.6959,2289.4919,0.4048,0.3482,0.6518,66.0,0.0,262.0,8.0
2014,18.6779,1953.6283,0.4137,0.3274,0.6726,14.0,0.0,322.0,0.0
2015,18.6977,1839.1631,0.3899,0.3125,0.6875,69.0,0.0,145.0,122.0
2016,18.4772,2565.2214,0.4256,0.5506,0.4494,46.0,42.0,240.0,8.0
2017,18.4075,2109.7904,0.4018,0.6399,0.3601,134.0,13.0,177.0,12.0
2018,18.1997,2526.7083,0.3899,0.6012,0.3988,46.0,0.0,290.0,0.0
2019,18.3722,1377.9322,0.4524,0.6607,0.3393,147.0,0.0,180.0,9.0
2020,18.1658,2522.8001,0.4315,0.5923,0.4077,157.0,48.0,131.0,0.0
2021,17.9855,2443.9579,0.4048,0.5625,0.4375,71.0,0.0,265.0,0.0
2022,17.729,2674.0034,0.4077,0.5863,0.4137,30.0,35.0,271.0,0.0
