year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.7106,3704.661,0.4167,0.6726,0.3274,0.0,72.0,264.0,0.0
2013,18.5025,2527.8444,0.4048,0.6726,0.3274,81.0,0.0,255.0,0.0
2014,18.3994,2210.6146,0.4137,0.6518,0.3482,0.0,0.0,336.0,0.0
2015,18.3865,1938.0509,0.4137,0.6518,0.3482,141.0,0.0,150.0,45.0
2016,18.2353,2355.7568,0.4048,0.6756,0.3244,138.0,35.0,161.0,2.0
2017,18.3398,1583.3007,0.4137,0.7292,0.2708,144.0,7.0,180.0,5.0
2018,18.2231,2251.8073,0.4137,0.75,0.25,15.0,0.0,321.0,0.0
2019,18.5643,868.2729,0.4256,0.7798,0.2202,161.0,0.0,175.0,0.0
2020,18.3143,2654.33,0.4167,0.747,0.253,142.0,24.0,170.0,0.0
2021,18.1527,2387.218,0.4315,0.7351,0.2649,42.0,0.0,294.0,0.0
2022,17.912,2626.2922,0.4286,0.747,0.253,45.0,38.0,253.0,0.0
