year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,19.1615,3903.8479,0.4167,0.6726,0.3274,0.0,72.0,227.0,37.0
2013,19.2725,2606.1594,0.4048,0.5595,0.4405,63.0,1.0,270.0,2.0
2014,19.4202,2421.8594,0.4137,0.5357,0.4643,20.0,0.0,316.0,0.0
2015,19.5964,2277.7342,0.4137,0.5268,0.4732,124.0,0.0,159.0,53.0
2016,19.746,2411.7438,0.4256,0.5149,0.4851,97.0,56.0,176.0,7.0
2017,19.9901,1936.1129,0.4077,0.5714,0.4286,107.0,29.0,186.0,14.0
2018,20.1194,2514.2257,0.4018,0.622,0.378,34.0,0.0,302.0,0.0
2019,20.4699,1400.2601,0.4613,0.6548,0.3452,150.0,0.0,182.0,4.0
2020,20.5866,2577.6262,0.4226,0.5982,0.4018,164.0,44.0,128.0,0.0
2021,20.7108,2539.4343,0.4018,0.5804,0.4196,51.0,0.0,285.0,0.0
2022,20.8221,2604.8971,0.4226,0.5833,0.4167,22.0,40.0,274.0,0.0
