year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.611,4005.4708,0.4107,0.6726,0.3274,0.0,66.0,231.0,39.0
2013,18.3852,2581.4066,0.4196,0.5833,0.4167,67.0,0.0,267.0,2.0
2014,18.212,2422.358,0.4256,0.5625,0.4375,22.0,0.0,314.0,0.0
2015,18.0792,2300.0831,0.4196,0.5357,0.4643,51.0,0.0,236.0,49.0
2016,17.8185,2686.9446,0.4107,0.6071,0.3929,129.0,27.0,170.0,10.0
2017,17.7765,2025.8015,0.3988,0.5982,0.4018,144.0,27.0,153.0,12.0
2018,17.6243,2358.9038,0.4286,0.6071,0.3929,45.0,0.0,291.0,0.0
2019,17.7951,1383.1057,0.4405,0.6518,0.3482,136.0,0.0,186.0,14.0
2020,17.529,2703.1442,0.4018,0.6369,0.3631,159.0,43.0,134.0,0.0
2021,17.3202,2529.7485,0.4107,0.6042,0.3958,70.0,0.0,266.0,0.0
2022,17.0482,2720.8628,0.4048,0.6339,0.3661,33.0,42.0,261.0,0.0
