year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6354,3931.83,0.4107,0.7411,0.2589,0.0,95.0,213.0,28.0
2013,18.4282,2525.1482,0.4196,0.6131,0.3869,81.0,0.0,248.0,7.0
2014,18.2882,2321.8702,0.4256,0.5714,0.4286,22.0,0.0,314.0,0.0
2015,18.1804,2224.8556,0.4107,0.5655,0.4345,119.0,0.0,156.0,61.0
2016,17.8963,2757.31,0.3958,0.6667,0.3333,116.0,27.0,183.0,10.0
2017,17.8486,2043.3526,0.3958,0.6875,0.3125,149.0,23.0,152.0,12.0
2018,17.6554,2482.6563,0.4256,0.7113,0.2887,42.0,0.0,294.0,0.0
2019,17.8353,1355.6248,0.4762,0.75,0.25,142.0,1.0,190.0,3.0
2020,17.5704,2699.3166,0.4048,0.7232,0.2768,161.0,69.0,106.0,0.0
2021,17.3547,2550.8882,0.4167,0.6905,0.3095,72.0,0.0,264.0,0.0
2022,17.1011,2665.3396,0.4167,0.6875,0.3125,23.0,59.0,253.0,1.0
