year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6185,3982.9596,0.4107,0.6726,0.3274,160.0,69.0,0.0,107.0
2013,18.4135,2518.3694,0.4196,0.5387,0.4613,106.0,54.0,158.0,18.0
2014,18.2357,2436.3017,0.4137,0.5506,0.4494,120.0,38.0,164.0,14.0
2015,18.0488,2463.6978,0.4137,0.6101,0.3899,119.0,39.0,83.0,95.0
2016,17.726,2874.261,0.3988,0.8423,0.1577,5.0,194.0,31.0,106.0
2017,17.6058,2262.2317,0.4167,0.997,0.003,24.0,161.0,115.0,36.0
2018,17.3039,2811.1601,0.3958,0.997,0.003,332.0,1.0,3.0,0.0
2019,17.4238,1536.7608,0.4196,1.0,0.0,211.0,0.0,125.0,0.0
2020,17.1044,2864.0802,0.3899,1.0,0.0,28.0,308.0,0.0,0.0
2021,16.7943,2836.0935,0.3958,1.0,0.0,206.0,0.0,117.0,13.0
2022,16.5209,2725.1122,0.4196,0.9643,0.0357,1.0,129.0,206.0,0.0
