year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.8821,3982.9596,0.4107,0.6726,0.3274,0.0,66.0,231.0,39.0
2013,18.829,2574.6592,0.4196,0.5833,0.4167,67.0,0.0,267.0,2.0
2014,18.8187,2412.7272,0.4256,0.5625,0.4375,22.0,0.0,314.0,0.0
2015,18.8429,2282.3373,0.4196,0.5357,0.4643,129.0,0.0,158.0,49.0
2016,18.8202,2459.6816,0.4107,0.5179,0.4821,99.0,57.0,169.0,11.0
2017,18.9419,1914.2948,0.4107,0.5982,0.4018,119.0,21.0,173.0,23.0
2018,18.9189,2460.7659,0.4196,0.6458,0.3542,42.0,0.0,294.0,0.0
2019,19.1658,1441.5483,0.4554,0.6964,0.3036,148.0,0.0,188.0,0.0
2020,19.079,2701.417,0.3988,0.6369,0.3631,173.0,45.0,118.0,0.0
2021,19.0555,2462.5741,0.4137,0.5982,0.4018,61.0,0.0,275.0,0.0
2022,18.98,2658.9869,0.4107,0.6101,0.3899,24.0,44.0,267.0,1.0
