year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6185,3982.9596,0.4107,0.6726,0.3274,0.0,66.0,231.0,39.0
2013,18.3948,2574.8187,0.4196,0.5833,0.4167,67.0,0.0,267.0,2.0
2014,18.2248,2412.5911,0.4256,0.5625,0.4375,22.0,0.0,314.0,0.0
2015,18.098,2282.1289,0.4196,0.5357,0.4643,129.0,0.0,158.0,49.0
2016,17.9127,2458.9269,0.4107,0.5179,0.4821,99.0,57.0,169.0,11.0
2017,17.908,1913.3277,0.4107,0.5982,0.4018,119.0,21.0,173.0,23.0
2018,17.7222,2460.4197,0.4196,0.6458,0.3542,42.0,0.0,294.0,0.0
2019,17.874,1440.6024,0.4554,0.6964,0.3036,148.0,0.0,188.0,0.0
2020,17.6085,2701.1143,0.3988,0.6369,0.3631,173.0,45.0,118.0,0.0
2021,17.422,2462.4709,0.4137,0.5982,0.4018,61.0,0.0,275.0,0.0
2022,17.1703,2659.7584,0.4107,0.6101,0.3899,24.0,44.0,267.0,1.0
