year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.4521,4485.6839,0.4107,0.6726,0.3274,0.0,138.0,198.0,0.0
2013,18.1817,2715.8481,0.4196,0.5833,0.4167,164.0,14.0,31.0,127.0
2014,17.9238,2678.1891,0.4256,0.4137,0.5863,154.0,21.0,39.0,122.0
2015,17.6906,2603.7056,0.4405,0.3423,0.6577,67.0,67.0,37.0,165.0
2016,17.2401,3260.246,0.3899,0.5565,0.4435,71.0,35.0,103.0,127.0
2017,16.8002,3227.96,0.3958,0.619,0.381,157.0,26.0,152.0,1.0
2018,16.565,2609.6784,0.4256,0.5,0.5,176.0,24.0,68.0,68.0
2019,16.3991,2400.4435,0.4256,0.4405,0.5595,20.0,35.0,254.0,27.0
2020,16.1026,2794.6314,0.4048,0.5536,0.4464,119.0,27.0,52.0,138.0
2021,15.7905,2841.9961,0.3899,0.5893,0.4107,38.0,10.0,217.0,71.0
2022,15.5266,2696.5143,0.4256,0.6042,0.3958,25.0,26.0,168.0,117.0
