year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.4854,4384.8705,0.4107,0.6726,0.3274,0.0,138.0,198.0,0.0
2013,18.2241,2688.4842,0.4196,0.5833,0.4167,156.0,14.0,148.0,18.0
2014,18.018,2521.7421,0.4256,0.372,0.628,63.0,14.0,257.0,2.0
2015,17.7986,2562.1174,0.4167,0.3899,0.6101,104.0,15.0,103.0,114.0
2016,17.3669,3203.2056,0.3839,0.503,0.497,89.0,34.0,94.0,119.0
2017,16.9668,3107.9697,0.3988,0.5774,0.4226,130.0,38.0,164.0,4.0
2018,16.7723,2486.6647,0.4405,0.497,0.503,111.0,23.0,199.0,3.0
2019,16.6317,2323.8601,0.4196,0.5,0.5,27.0,19.0,253.0,37.0
2020,16.3289,2813.9212,0.3988,0.6131,0.3869,128.0,24.0,56.0,128.0
2021,16.0646,2697.4425,0.4196,0.6012,0.3988,36.0,16.0,280.0,4.0
2022,15.7692,2791.5166,0.4048,0.5833,0.4167,21.0,25.0,184.0,106.0
