year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6286,3952.2439,0.4107,0.6726,0.3274,0.0,66.0,231.0,39.0
2013,18.4079,2565.914,0.4196,0.5833,0.4167,67.0,0.0,267.0,2.0
2014,18.2423,2399.3905,0.4256,0.5625,0.4375,21.0,0.0,315.0,0.0
2015,18.1238,2257.2497,0.4196,0.5387,0.4613,152.0,0.0,135.0,49.0
2016,17.9376,2461.6325,0.4107,0.5208,0.4792,100.0,55.0,170.0,11.0
2017,17.9189,1955.4255,0.3988,0.5833,0.4167,117.0,26.0,178.0,15.0
2018,17.764,2367.0318,0.4315,0.6042,0.3958,44.0,0.0,292.0,0.0
2019,17.9601,1306.7148,0.4821,0.6399,0.3601,144.0,0.0,187.0,5.0
2020,17.7148,2640.2571,0.3988,0.5804,0.4196,158.0,39.0,139.0,0.0
2021,17.5706,2334.7506,0.4226,0.5387,0.4613,63.0,0.0,273.0,0.0
2022,17.3253,2640.1063,0.4077,0.5625,0.4375,30.0,35.0,271.0,0.0
