year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.5517,4184.5299,0.4107,0.6726,0.3274,0.0,78.0,198.0,60.0
2013,18.3093,2631.4626,0.4196,0.5833,0.4167,29.0,14.0,275.0,18.0
2014,18.0959,2543.7516,0.4256,0.5238,0.4762,13.0,19.0,302.0,2.0
2015,17.8997,2492.0662,0.4256,0.494,0.506,86.0,5.0,202.0,43.0
2016,17.6068,2784.0512,0.4048,0.4821,0.5179,116.0,35.0,155.0,30.0
2017,17.4204,2461.952,0.3988,0.5387,0.4613,125.0,29.0,158.0,24.0
2018,17.2222,2498.0595,0.4286,0.5833,0.4167,37.0,7.0,291.0,1.0
2019,17.1891,1999.1157,0.4286,0.622,0.378,18.0,0.0,290.0,28.0
2020,16.9192,2714.3413,0.4196,0.6845,0.3155,151.0,40.0,95.0,50.0
2021,16.6597,2683.2372,0.4107,0.6131,0.3869,44.0,7.0,277.0,8.0
2022,16.3998,2684.2696,0.4226,0.5923,0.4077,15.0,22.0,294.0,5.0
