year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.621,3975.1762,0.4107,0.6726,0.3274,0.0,66.0,231.0,39.0
2013,18.3981,2572.4929,0.4196,0.5833,0.4167,67.0,0.0,267.0,2.0
2014,18.2292,2409.5033,0.4256,0.5625,0.4375,22.0,0.0,314.0,0.0
2015,18.1045,2275.769,0.4196,0.5357,0.4643,147.0,0.0,140.0,49.0
2016,17.9076,2494.115,0.4107,0.5298,0.4702,104.0,52.0,169.0,11.0
2017,17.8996,1923.0482,0.4107,0.5893,0.4107,120.0,26.0,174.0,16.0
2018,17.7329,2402.8694,0.4315,0.625,0.375,42.0,0.0,294.0,0.0
2019,17.9104,1362.9067,0.4613,0.6726,0.3274,139.0,0.0,190.0,7.0
2020,17.639,2718.9468,0.3929,0.628,0.372,162.0,42.0,132.0,0.0
2021,17.4426,2492.3902,0.3929,0.5774,0.4226,70.0,0.0,266.0,0.0
2022,17.2277,2548.3442,0.4315,0.5893,0.4107,22.0,49.0,265.0,0.0
