year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.5789,4102.6279,0.4107,0.8363,0.1637,0.0,107.0,211.0,18.0
2013,18.3422,2614.2035,0.4196,0.7232,0.2768,76.0,0.0,248.0,12.0
2014,18.1439,2497.9464,0.4256,0.7083,0.2917,22.0,0.0,314.0,0.0
2015,17.9755,2408.0222,0.4107,0.7083,0.2917,135.0,0.0,162.0,39.0
2016,17.7625,2542.4075,0.4226,0.7024,0.2976,135.0,41.0,149.0,11.0
2017,17.706,2069.8931,0.4167,0.7649,0.2351,138.0,16.0,175.0,7.0
2018,17.5092,2493.7908,0.4464,0.8006,0.1994,27.0,0.0,309.0,0.0
2019,17.6456,1486.8515,0.4286,0.8125,0.1875,159.0,0.0,174.0,3.0
2020,17.3649,2747.1088,0.3988,0.7798,0.2202,171.0,81.0,84.0,0.0
2021,17.1304,2607.5963,0.4167,0.7589,0.2411,61.0,0.0,275.0,0.0
2022,16.8827,2647.4485,0.4256,0.7679,0.2321,18.0,81.0,234.0,3.0
