year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.7822,3488.4147,0.4107,0.5387,0.4613,0.0,79.0,222.0,35.0
2013,18.6454,2312.1744,0.4196,0.3929,0.6071,78.0,0.0,255.0,3.0
2014,18.6087,2010.04,0.4256,0.381,0.619,18.0,0.0,318.0,0.0
2015,18.6067,1905.2164,0.4048,0.372,0.628,79.0,1.0,152.0,104.0
2016,18.3667,2624.1294,0.4018,0.5536,0.4464,63.0,46.0,211.0,16.0
2017,18.2997,2101.3537,0.3869,0.6429,0.3571,132.0,20.0,171.0,13.0
2018,18.1434,2371.2792,0.4226,0.625,0.375,55.0,0.0,281.0,0.0
2019,18.3241,1353.192,0.4673,0.6667,0.3333,138.0,1.0,190.0,7.0
2020,18.0791,2639.3941,0.4018,0.6071,0.3929,156.0,49.0,131.0,0.0
2021,17.9339,2337.7645,0.4315,0.5506,0.4494,65.0,0.0,271.0,0.0
2022,17.6859,2648.409,0.4018,0.5446,0.4554,21.0,38.0,276.0,1.0
