year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6185,3982.9596,0.4107,0.6726,0.3274,0.0,66.0,198.0,72.0
2013,18.3948,2574.8916,0.4196,0.5833,0.4167,159.0,14.0,147.0,16.0
2014,18.3106,2153.2784,0.4256,0.4405,0.5595,125.0,39.0,133.0,39.0
2015,18.2575,2059.6787,0.4405,0.503,0.497,72.0,54.0,196.0,14.0
2016,17.959,2800.8059,0.4107,0.622,0.378,113.0,37.0,158.0,28.0
2017,17.8853,2121.8875,0.3988,0.7143,0.2857,153.0,22.0,158.0,3.0
2018,17.6484,2614.6473,0.3958,0.7321,0.2679,173.0,17.0,137.0,9.0
2019,17.8137,1399.8291,0.4613,0.7589,0.2411,174.0,3.0,159.0,0.0
2020,17.5551,2680.1861,0.4167,0.7589,0.2411,170.0,91.0,39.0,36.0
2021,17.2985,2674.4625,0.4196,0.8571,0.1429,45.0,6.0,283.0,2.0
2022,17.0233,2730.4931,0.4167,0.875,0.125,24.0,100.0,211.0,1.0
