year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.7143,3693.3212,0.4107,0.6042,0.3958,0.0,77.0,225.0,34.0
2013,18.5456,2408.898,0.4196,0.4881,0.5119,73.0,0.0,257.0,6.0
2014,18.4737,2116.3501,0.4256,0.4673,0.5327,21.0,0.0,315.0,0.0
2015,18.4208,2058.9911,0.4196,0.4494,0.5506,99.0,0.0,160.0,77.0
2016,18.2054,2549.6596,0.4077,0.5417,0.4583,81.0,46.0,196.0,13.0
2017,18.1985,1919.8918,0.4375,0.625,0.375,121.0,21.0,184.0,10.0
2018,18.0506,2346.1566,0.4405,0.625,0.375,42.0,0.0,294.0,0.0
2019,18.226,1369.1505,0.4613,0.6696,0.3304,136.0,0.0,192.0,8.0
2020,17.9501,2732.616,0.3869,0.6339,0.3661,158.0,47.0,131.0,0.0
2021,17.7549,2488.7802,0.4077,0.6042,0.3958,61.0,0.0,275.0,0.0
2022,17.5097,2639.9127,0.4196,0.628,0.372,28.0,43.0,261.0,4.0
