year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.5186,4284.6418,0.4107,0.6726,0.3274,0.0,138.0,198.0,0.0
2013,18.2669,2659.4349,0.4196,0.5833,0.4167,18.0,14.0,286.0,18.0
2014,18.0384,2589.4831,0.4256,0.5238,0.4762,12.0,20.0,302.0,2.0
2015,17.8074,2596.8843,0.4167,0.4851,0.5149,126.0,14.0,151.0,45.0
2016,17.5023,2821.1343,0.4137,0.4494,0.5506,103.0,49.0,128.0,56.0
2017,17.2353,2705.7085,0.3988,0.6101,0.3899,121.0,24.0,165.0,26.0
2018,17.0049,2595.1793,0.4226,0.6518,0.3482,32.0,15.0,263.0,26.0
2019,16.8384,2402.0177,0.4286,0.6994,0.3006,31.0,0.0,283.0,22.0
2020,16.5412,2797.09,0.4018,0.7411,0.2589,158.0,57.0,40.0,81.0
2021,16.263,2739.3273,0.4107,0.7321,0.2679,33.0,19.0,246.0,38.0
2022,15.9798,2754.6398,0.4107,0.6012,0.3988,21.0,20.0,237.0,58.0
