year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6312,3944.5936,0.4107,0.6726,0.3274,0.0,66.0,231.0,39.0
2013,18.4111,2563.8248,0.4196,0.5833,0.4167,67.0,0.0,267.0,2.0
2014,18.2466,2396.2046,0.4256,0.5625,0.4375,21.0,0.0,315.0,0.0
2015,18.1302,2250.7836,0.4196,0.5387,0.4613,152.0,0.0,135.0,49.0
2016,17.9458,2456.131,0.4107,0.5208,0.4792,100.0,55.0,170.0,11.0
2017,17.9298,1947.3259,0.3988,0.5833,0.4167,117.0,26.0,178.0,15.0
2018,17.7762,2363.2033,0.4315,0.6042,0.3958,44.0,0.0,292.0,0.0
2019,17.9742,1300.9403,0.4821,0.6399,0.3601,144.0,0.0,187.0,5.0
2020,17.73,2636.8159,0.3988,0.5804,0.4196,157.0,40.0,138.0,1.0
2021,17.5829,2343.7059,0.4226,0.5506,0.4494,61.0,0.0,275.0,0.0
2022,17.3445,2619.2206,0.4137,0.5714,0.4286,33.0,37.0,266.0,0.0
