year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.7181,3681.8039,0.4107,0.6726,0.3274,0.0,66.0,270.0,0.0
2013,18.5353,2451.6427,0.4196,0.6726,0.3274,73.0,0.0,263.0,0.0
2014,18.5149,1960.5826,0.4256,0.6607,0.3393,0.0,0.0,336.0,0.0
2015,18.5804,1701.3424,0.4226,0.6607,0.3393,134.0,0.0,163.0,39.0
2016,18.514,2099.4839,0.3899,0.6696,0.3304,137.0,35.0,152.0,12.0
2017,18.7655,1139.4861,0.5119,0.7232,0.2768,140.0,0.0,196.0,0.0
2018,18.7654,1899.1456,0.4256,0.7351,0.2649,16.0,0.0,320.0,0.0
2019,19.1568,716.6577,0.4821,0.7589,0.2411,145.0,0.0,191.0,0.0
2020,18.9252,2598.908,0.4048,0.7173,0.2827,87.0,0.0,249.0,0.0
2021,18.7881,2313.1247,0.3869,0.7202,0.2798,30.0,0.0,306.0,0.0
2022,18.5301,2678.8065,0.3988,0.7143,0.2857,45.0,11.0,280.0,0.0
