year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6261,3959.7398,0.4107,0.6726,0.3274,0.0,66.0,231.0,39.0
2013,18.4047,2568.1404,0.4196,0.5833,0.4167,67.0,0.0,267.0,2.0
2014,18.238,2402.8357,0.4256,0.5625,0.4375,22.0,0.0,314.0,0.0
2015,18.1174,2263.2801,0.4196,0.5357,0.4643,152.0,0.0,135.0,49.0
2016,17.9319,2459.4735,0.4107,0.5179,0.4821,99.0,56.0,170.0,11.0
2017,17.9108,1962.9899,0.3988,0.5833,0.4167,118.0,25.0,177.0,16.0
2018,17.7467,2394.7584,0.4315,0.619,0.381,43.0,0.0,293.0,0.0
2019,17.927,1354.353,0.4732,0.6637,0.3363,148.0,0.0,185.0,3.0
2020,17.6615,2701.3791,0.3929,0.6101,0.3899,162.0,39.0,135.0,0.0
2021,17.4666,2487.8251,0.3929,0.5625,0.4375,60.0,0.0,276.0,0.0
2022,17.2535,2542.9547,0.4345,0.5655,0.4345,18.0,38.0,280.0,0.0
