year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,19.1458,3982.9596,0.4107,0.6726,0.3274,0.0,66.0,231.0,39.0
2013,19.2631,2574.4389,0.4196,0.5833,0.4167,67.0,0.0,267.0,2.0
2014,19.4126,2412.6758,0.4256,0.5625,0.4375,22.0,0.0,314.0,0.0
2015,19.5878,2282.7611,0.4196,0.5357,0.4643,129.0,0.0,158.0,49.0
2016,19.7278,2460.1475,0.4107,0.5179,0.4821,99.0,57.0,169.0,11.0
2017,19.9761,1915.0638,0.4107,0.5982,0.4018,119.0,21.0,173.0,23.0
2018,20.1159,2460.9945,0.4196,0.6458,0.3542,42.0,0.0,294.0,0.0
2019,20.458,1442.5707,0.4554,0.6964,0.3036,148.0,0.0,188.0,0.0
2020,20.5501,2701.5022,0.3988,0.6369,0.3631,173.0,45.0,118.0,0.0
2021,20.6896,2462.8985,0.4137,0.5982,0.4018,61.0,0.0,275.0,0.0
2022,20.79,2659.6531,0.4107,0.6101,0.3899,24.0,44.0,267.0,1.0
